"","GSM2445880","GSM2445881","GSM2445882","GSM2445883","GSM2445884","GSM2445885","GSM2445886","GSM2445887","GSM2445888","GSM2445889","GSM2445890","GSM2445891","GSM2445892","GSM2445893","GSM2445894","GSM2445895","GSM2445896","GSM2445897","GSM2445898","GSM2445899","GSM2445900","GSM2445901","GSM2445902","GSM2445903","GSM2445904","GSM2445905","GSM2445906","GSM2445907","GSM2445908","GSM2445909","GSM2445910","GSM2445911","GSM2445912","GSM2445913","GSM2445914","GSM2445915","GSM2445916","GSM2445917","GSM2445918","GSM2445919","GSM2445920"
"hsa-miR-21-5p",3.84599177066457,3.86294724802092,3.92504996472736,3.83693401132109,3.85099939471647,3.83693401132109,3.82883464946806,3.77820857639809,3.84599177066457,3.81659970653491,3.81659970653491,3.82068956055921,3.85996954822103,3.77294133783134,3.84498815668261,3.81455042346181,3.81864608282254,3.83289001416474,3.86987140617771,3.85598969730848,3.80012335282653,3.87578006306849,3.83693401132109,3.854993016757,3.87184364850932,3.79597469420667,3.8094144442359,3.8569856897822,3.84899843040002,3.86096279785812,3.84699468696557,3.8569856897822,3.85299758761332,3.82273014794452,3.84599177066457,3.85299758761332,3.8569856897822,3.83491342970104,3.81966818349646,3.82984955984469,3.83592407425437
"hsa-miR-328-3p",3.84899843040002,3.79389588254888,3.7279204545632,3.85099939471647,3.88557436437143,4.0232553523003,3.96439863220318,3.9560566524124,3.78868571061353,3.78659636189081,3.83390207666916,3.83289001416474,3.88362081628567,3.799087306074,3.74846123300404,3.73660487531425,3.66220549965362,3.8569856897822,3.83592407425437,3.77820857639809,3.86096279785812,3.65306001710456,3.8499992594661,3.87479696589867,3.74200621086674,3.81864608282254,3.96624587322494,3.78659636189081,3.799087306074,3.74416109557041,3.71808758396052,3.78450398292957,3.82374936030827,3.82781902461732,3.82476785314329,3.91169158187234,3.86096279785812,3.82883464946806,3.87479696589867,3.82476785314329,3.85099939471647
"hsa-miR-101-3p",3.81966818349646,3.84297883178833,3.87676249078156,3.84599177066457,3.82984955984469,3.77925972037238,3.80219321694183,3.75381844317354,3.83895176695194,3.80219321694183,3.76871365703048,3.81455042346181,3.82374936030827,3.81864608282254,3.82578562746479,3.84498815668261,3.76765479823735,3.854993016757,3.84699468696557,3.83592407425437,3.76977173924945,3.85099939471647,3.84398384404833,3.82374936030827,3.87282875953489,3.81659970653491,3.75274859140713,3.86888427302877,3.84599177066457,3.82984955984469,3.82068956055921,3.85299758761332,3.84398384404833,3.83187724119167,3.85299758761332,3.83491342970104,3.84799690655495,3.84297883178833,3.82476785314329,3.83289001416474,3.84096670448742
"hsa-miR-30a-5p",3.79285535236249,3.80012335282653,3.82984955984469,3.80322703643493,3.82680268428583,3.76871365703048,3.77188557851537,3.75702324650746,3.82374936030827,3.82781902461732,3.80219321694183,3.82883464946806,3.81659970653491,3.85199883711245,3.81762325751143,3.86591881455221,3.81147103052984,3.84799690655495,3.8499992594661,3.82984955984469,3.78659636189081,3.83693401132109,3.82374936030827,3.80219321694183,3.81659970653491,3.82984955984469,3.76977173924945,3.83491342970104,3.81966818349646,3.8073549220576,3.81044310384517,3.79493566280354,3.82068956055921,3.83187724119167,3.81557542886257,3.84297883178833,3.83995958748953,3.82171021503467,3.82273014794452,3.81966818349646,3.83491342970104
"hsa-miR-92a-3p",3.85199883711245,3.83491342970104,3.83086375675176,3.75808993420181,3.84599177066457,3.88752527074159,3.87085786436376,3.90977310414164,3.77610398807316,3.77610398807316,3.79805051476751,3.81864608282254,3.82680268428583,3.79597469420667,3.74631276642546,3.77082904603249,3.75488750216347,3.82068956055921,3.77188557851537,3.79181407116183,3.87085786436376,3.75595576955096,3.80322703643493,3.82578562746479,3.75060650483559,3.799087306074,3.85996954822103,3.79493566280354,3.80426011563474,3.75167794568758,3.74738739965272,3.77925972037238,3.82068956055921,3.8011586560937,3.82374936030827,3.83390207666916,3.79701297783614,3.8011586560937,3.83390207666916,3.79285535236249,3.78868571061353
"hsa-miR-760",3.72683121703249,3.77610398807316,3.78345665436024,3.78031009904338,3.83187724119167,3.87970576628229,3.80838505065609,3.82781902461732,3.78031009904338,3.78972925137577,3.84599177066457,3.78450398292957,3.84799690655495,3.77399632511117,3.80529245560071,3.74738739965272,3.77082904603249,3.79493566280354,3.81659970653491,3.76341157447001,3.90977310414164,3.81659970653491,3.76128527336162,3.79389588254888,3.73226919950145,3.77925972037238,3.8569856897822,3.78555055173926,3.79389588254888,3.81557542886257,3.78240856492737,3.790772037862,3.82171021503467,3.78764141448333,3.77820857639809,3.81966818349646,3.82068956055921,3.74200621086674,3.80426011563474,3.77294133783134,3.79389588254888
"hsa-miR-381-3p",3.85299758761332,3.82171021503467,3.80529245560071,3.85399564717639,3.73335434061383,3.75060650483559,3.80012335282653,3.8094144442359,3.82781902461732,3.82578562746479,3.76022094646651,3.81557542886257,3.73009646559547,3.81147103052984,3.78764141448333,3.82273014794452,3.86591881455221,3.81044310384517,3.7279204545632,3.81557542886257,3.66334461936608,3.78659636189081,3.80632405739003,3.78868571061353,3.86393845042397,3.80426011563474,3.74308405554959,3.80838505065609,3.76871365703048,3.78555055173926,3.83187724119167,3.82476785314329,3.77505054148317,3.79701297783614,3.79181407116183,3.74523733212975,3.75488750216347,3.82781902461732,3.76977173924945,3.81249822533356,3.77610398807316
"hsa-miR-124-3p",3.74523733212975,3.77610398807316,3.78972925137577,3.79805051476751,3.8011586560937,3.80838505065609,3.76871365703048,3.76871365703048,3.78555055173926,3.78031009904338,3.78868571061353,3.77082904603249,3.81864608282254,3.72027846523333,3.76659516172927,3.75060650483559,3.75808993420181,3.80219321694183,3.81249822533356,3.78555055173926,3.75167794568758,3.78972925137577,3.75595576955096,3.79597469420667,3.77610398807316,3.74631276642546,3.75595576955096,3.76659516172927,3.78868571061353,3.82374936030827,3.76659516172927,3.77925972037238,3.78240856492737,3.76022094646651,3.76022094646651,3.79597469420667,3.78972925137577,3.75595576955096,3.76871365703048,3.78555055173926,3.79285535236249
"hsa-miR-532-5p",3.74738739965272,3.77925972037238,3.79389588254888,3.80219321694183,3.77082904603249,3.76234881564413,3.73443866613717,3.71039319217052,3.78031009904338,3.76022094646651,3.74953426766926,3.76765479823735,3.790772037862,3.76341157447001,3.75060650483559,3.76447355099267,3.75381844317354,3.76553474636298,3.81352468929781,3.76659516172927,3.74416109557041,3.790772037862,3.75915583380027,3.77294133783134,3.78764141448333,3.76765479823735,3.74200621086674,3.80529245560071,3.78240856492737,3.75702324650746,3.77820857639809,3.79285535236249,3.80529245560071,3.78031009904338,3.78659636189081,3.79805051476751,3.799087306074,3.76234881564413,3.77188557851537,3.76447355099267,3.77505054148317
"hsa-miR-432-5p",3.75274859140713,3.76977173924945,3.75488750216347,3.71039319217052,3.78972925137577,3.78764141448333,3.80219321694183,3.76977173924945,3.75060650483559,3.7771566660045,3.75274859140713,3.78555055173926,3.75702324650746,3.79389588254888,3.78345665436024,3.78135971352466,3.75167794568758,3.75488750216347,3.76128527336162,3.75595576955096,3.84599177066457,3.75808993420181,3.75060650483559,3.74738739965272,3.74846123300404,3.77505054148317,3.81966818349646,3.76977173924945,3.74631276642546,3.75060650483559,3.75381844317354,3.76871365703048,3.75167794568758,3.76977173924945,3.74953426766926,3.77294133783134,3.77610398807316,3.77820857639809,3.77399632511117,3.75595576955096,3.75915583380027
"hsa-miR-30e-5p",3.78555055173926,3.77399632511117,3.83592407425437,3.78555055173926,3.77082904603249,3.70487196445635,3.70154905694307,3.66106547980695,3.7771566660045,3.77188557851537,3.75274859140713,3.76234881564413,3.77610398807316,3.73335434061383,3.74092756031863,3.77610398807316,3.76765479823735,3.80632405739003,3.81557542886257,3.78764141448333,3.65306001710456,3.79493566280354,3.76553474636298,3.77082904603249,3.76765479823735,3.76765479823735,3.68032435684402,3.76553474636298,3.77082904603249,3.78031009904338,3.76871365703048,3.75060650483559,3.77505054148317,3.76659516172927,3.77294133783134,3.81147103052984,3.790772037862,3.77925972037238,3.76341157447001,3.76871365703048,3.790772037862
"hsa-miR-423-3p",3.8569856897822,3.81352468929781,3.82781902461732,3.77820857639809,3.74631276642546,3.8094144442359,3.78450398292957,3.82068956055921,3.72137265947682,3.76447355099267,3.78135971352466,3.73768676140986,3.75702324650746,3.7158933705476,3.70929063572336,3.7158933705476,3.78345665436024,3.76447355099267,3.68481873755322,3.73443866613717,3.77610398807316,3.72027846523333,3.72246602447109,3.76977173924945,3.72683121703249,3.75381844317354,3.78764141448333,3.73768676140986,3.70818723602071,3.73335434061383,3.75915583380027,3.76447355099267,3.75381844317354,3.74846123300404,3.73443866613717,3.75381844317354,3.73226919950145,3.75274859140713,3.75274859140713,3.75381844317354,3.72137265947682
"hsa-miR-127-3p",3.76871365703048,3.75060650483559,3.76128527336162,3.77294133783134,3.76128527336162,3.7771566660045,3.75274859140713,3.75702324650746,3.73876783680019,3.76659516172927,3.75060650483559,3.75381844317354,3.76022094646651,3.78240856492737,3.76234881564413,3.7771566660045,3.74416109557041,3.77505054148317,3.76871365703048,3.73335434061383,3.78135971352466,3.73660487531425,3.7311832415722,3.73335434061383,3.73768676140986,3.75595576955096,3.76447355099267,3.76341157447001,3.73660487531425,3.76447355099267,3.73768676140986,3.74308405554959,3.74308405554959,3.75167794568758,3.73876783680019,3.76765479823735,3.74416109557041,3.75167794568758,3.76234881564413,3.74092756031863,3.75274859140713
"hsa-miR-219a-2-3p",3.78135971352466,3.76447355099267,3.72027846523333,3.76977173924945,3.74953426766926,3.70708299177171,3.72900887033786,3.70708299177171,3.74738739965272,3.73552217729654,3.72465027173297,3.73443866613717,3.7279204545632,3.78972925137577,3.77820857639809,3.79389588254888,3.76553474636298,3.73226919950145,3.76659516172927,3.74416109557041,3.73009646559547,3.74738739965272,3.75274859140713,3.73552217729654,3.76553474636298,3.75915583380027,3.73984810269933,3.78764141448333,3.7771566660045,3.78764141448333,3.77505054148317,3.78240856492737,3.74953426766926,3.76234881564413,3.75488750216347,3.72574115650395,3.74200621086674,3.77399632511117,3.75167794568758,3.77505054148317,3.75381844317354
"hsa-miR-218-5p",3.82171021503467,3.78764141448333,3.74631276642546,3.78135971352466,3.72246602447109,3.64961545906341,3.7279204545632,3.67016051412663,3.75915583380027,3.74200621086674,3.66902676550963,3.73226919950145,3.674686619928,3.78450398292957,3.74416109557041,3.81966818349646,3.76234881564413,3.73335434061383,3.70154905694307,3.77082904603249,3.64038956005495,3.71918344048179,3.76871365703048,3.71369581484336,3.80322703643493,3.73984810269933,3.67355642399014,3.74846123300404,3.77399632511117,3.78345665436024,3.77294133783134,3.81249822533356,3.70929063572336,3.75167794568758,3.75167794568758,3.71149490665009,3.72027846523333,3.80426011563474,3.73335434061383,3.78868571061353,3.75915583380027
"hsa-miR-378a-3p",3.72246602447109,3.76022094646651,3.73984810269933,3.77082904603249,3.7311832415722,3.7158933705476,3.6724253419715,3.68594014844598,3.74738739965272,3.74200621086674,3.74846123300404,3.74631276642546,3.76553474636298,3.75488750216347,3.76553474636298,3.74846123300404,3.75381844317354,3.72900887033786,3.76234881564413,3.72900887033786,3.68481873755322,3.74846123300404,3.72574115650395,3.75808993420181,3.74092756031863,3.74092756031863,3.70043971814109,3.76765479823735,3.75274859140713,3.77294133783134,3.76022094646651,3.7771566660045,3.75915583380027,3.75060650483559,3.75060650483559,3.74738739965272,3.75595576955096,3.73335434061383,3.74631276642546,3.73984810269933,3.73984810269933
"hsa-miR-125a-5p",3.83995958748953,3.71918344048179,3.5933537709803,3.6959938131099,3.75381844317354,3.74200621086674,3.84899843040002,3.78764141448333,3.71039319217052,3.7235585614721,3.65764000520782,3.77820857639809,3.68032435684402,3.81249822533356,3.62993940943954,3.75808993420181,3.605257262939,3.77610398807316,3.71259578044703,3.70818723602071,3.63691458035588,3.51349074558812,3.81966818349646,3.75595576955096,3.73335434061383,3.80632405739003,3.76447355099267,3.71259578044703,3.70818723602071,3.5957423394744,3.63807383718072,3.68706068833989,3.65764000520782,3.77082904603249,3.75915583380027,3.75274859140713,3.71808758396052,3.85299758761332,3.78450398292957,3.81147103052984,3.75808993420181
"hsa-miR-29a-3p",3.71918344048179,3.74953426766926,3.70818723602071,3.73768676140986,3.71369581484336,3.68594014844598,3.7235585614721,3.6915341649192,3.7279204545632,3.69821847822441,3.66902676550963,3.69488019279919,3.6915341649192,3.70597790168252,3.68144926531496,3.73768676140986,3.73443866613717,3.69821847822441,3.72900887033786,3.7311832415722,3.62643913669732,3.72900887033786,3.73768676140986,3.72683121703249,3.76341157447001,3.70043971814109,3.67129337248158,3.72027846523333,3.74523733212975,3.77082904603249,3.74308405554959,3.77399632511117,3.70929063572336,3.7279204545632,3.7311832415722,3.69821847822441,3.7235585614721,3.74953426766926,3.6959938131099,3.73984810269933,3.73768676140986
