"","GSM3884683","GSM3884684","GSM3884685","GSM3884686","GSM3884687","GSM3884688","GSM3884689","GSM3884690","GSM3884691","GSM3884692","GSM3884693","GSM3884694"
"hsa-miR-3960",12.237,12.1455,12.0619,13.338,12.6857,13.4669,12.5449,12.5712,12.2503,12.1438,12.887,12.1553
"hsa-miR-4787",11.7533,11.5221,11.64,11.7942,11.4343,11.8457,12.5949,12.732,12.9508,13.3013,12.8449,13.2986
"hsa-miR-3665",11.994,11.7518,12.0356,12.9217,12.3871,12.7079,10.8336,10.8887,10.4745,10.3267,11.1098,9.88627
"hsa-miR-4466",11.3631,11.1402,11.2218,11.7613,11.9283,11.9137,11.3905,11.3353,10.9886,11.307,11.6161,10.2298
"hsa-miR-638",11.2239,10.8643,11.1181,11.573,11.2917,11.6558,11.7659,11.5365,11.2576,11.2707,11.7773,10.7554
"hsa-miR-4516",11.0008,10.3955,10.8988,10.8349,10.9164,11.0138,11.6216,11.5874,11.1109,11.2894,11.1334,9.06822
"hsa-miR-3656",10.7252,10.7579,10.8128,11.2449,10.8901,11.2583,11.016,10.8781,10.7358,10.6991,11.43,10.1951
"hsa-miR-4508",9.78189,9.50234,9.34922,10.0311,10.1056,10.0459,11.4949,10.7165,11.7051,12.2919,12.0824,11.8284
"hsa-miR-3178",12.9413,12.915,12.4777,12.8348,12.2514,12.4277,8.55902,8.87674,8.85959,9.50065,9.4038,7.45733
"hsa-miR-1469",10.3616,10.2528,10.5437,10.5881,10.5569,10.7492,10.6583,10.7579,10.4683,10.4713,11.1681,10.0412
"hsa-miR-4488",10.0316,10.0643,10.0756,11.0215,10.4622,10.8023,10.7126,10.617,10.7746,10.6728,10.8469,10.2582
"hsa-miR-762",10.3874,10.1422,10.0888,10.3806,10.4654,10.5189,10.0589,10.4784,10.3437,10.7141,10.7425,10.341
"hsa-miR-2861",10.8658,10.3584,10.8588,11.5495,11.8212,11.7367,9.25315,9.78301,9.36776,9.67376,10.2076,8.88182
"hsa-miR-1915",11.0503,10.8409,11.0362,11.2937,11.0441,11.5183,9.12103,9.88171,8.90655,9.55198,10.2669,8.49254
"hsa-miR-1908",9.77485,9.75916,9.91487,10.4796,10.0334,10.2441,10.178,10.3477,10.0891,10.3028,10.9284,9.61254
"hsa-miR-3940",9.97187,9.69177,10.0088,10.6909,10.484,10.7111,9.81763,10.1391,9.93084,9.68937,10.4421,9.48426
"hsa-miR-1228",9.94234,9.96035,9.78962,10.189,9.94554,10.0426,9.80137,10.0283,9.66843,9.46799,10.4436,9.33065
"hsa-miR-3196",10.445,10.3533,10.532,11.0899,10.6234,10.9112,8.98221,9.28799,9.16321,9.1803,9.7409,8.05025
"hsa-miR-4763",9.76595,9.76111,9.80024,10.0066,10.2652,10.1838,9.14126,9.57752,9.54329,8.9536,9.68188,9.40905
"hsa-miR-1268",9.0789,9.05571,8.50953,8.76588,9.02487,8.66379,9.35069,9.3862,10.6289,11.033,10.5162,11.1585
"hsa-miR-149",9.83912,9.74442,9.71696,9.89129,9.91698,9.99509,9.76778,9.87253,9.02304,9.06255,10.1561,7.97672
"hsa-miR-1268b",9.22581,9.3211,8.79226,8.38186,8.52111,8.52963,9.38619,9.47266,10.4804,10.8522,10.5422,11.0727
"hsa-miR-4734",9.17826,8.70204,9.23074,10.0729,9.94848,9.92769,9.55255,9.82309,9.37248,9.28364,10.0629,8.89138
"hsa-miR-3197",10.5931,10.8574,10.603,10.4223,9.62072,9.81519,8.67933,9.10404,8.10197,8.64996,9.17179,6.67074
"hsa-miR-4707",9.32009,8.93163,9.21083,9.86831,9.94548,10.0066,8.87421,9.33071,8.7596,9.29675,9.99343,8.35742
"hsa-miR-4687",9.93396,9.5649,9.96667,10.3837,10.5219,10.4799,8.25869,8.46462,8.11445,8.08294,8.93586,7.74054
"hsa-miR-4497",10.8124,10.6632,10.6589,11.0824,10.9575,11.2464,7.61571,7.84843,7.07822,7.92766,8.24074,6.12632
"hsa-miR-663",9.52916,9.35556,9.5421,10.2528,10.033,10.0885,8.36183,8.818,7.9907,8.84322,9.30857,7.70241
"hsa-miR-4532",10.5959,10.451,9.90933,9.54001,9.67733,9.95261,6.63189,7.74238,7.2427,9.19021,9.76162,8.79849
"hsa-miR-4674",8.39479,7.68009,8.42604,8.0588,8.11571,8.10285,10.2935,10.4651,9.69216,10.0092,10.6423,9.11347
"hsa-miR-4484",12.3363,12.122,12.2267,10.7734,10.132,10.1772,7.54868,7.60723,6.15178,7.48766,7.43048,4.95815
"hsa-miR-4745",9.50321,8.967,9.56122,9.36745,9.51931,9.59542,8.15551,8.57393,8.22235,8.86544,8.98505,7.46393
"hsa-miR-4651",8.61788,8.4899,7.82219,8.56655,8.95142,8.77474,9.18422,9.37618,9.13684,9.01294,9.84517,8.96161
"hsa-miR-4281",10.3482,10.3723,10.1992,9.21196,9.96573,9.75318,7.61506,8.19089,7.31712,7.98165,9.00747,5.82415
"hsa-miR-574",9.85675,10.2,9.61589,8.43563,8.0151,8.54726,7.77857,8.48295,9.11225,8.03595,7.50442,9.90157
"hsa-miR-320a",10.8272,10.5758,10.2925,12.2369,13.4076,12.9556,6.26468,5.92411,5.58267,5.41928,6.53307,5.3595
"hsa-miR-3185",8.52744,7.84084,8.43337,9.42268,9.27782,9.23601,9.12331,9.32866,8.47366,8.59687,9.36227,7.0683
"hsa-miR-4492",7.41623,7.5782,5.86699,7.5807,7.39479,7.43229,9.27319,8.63848,10.4859,11.1063,10.7941,10.5594
"hsa-miR-4270",9.37638,8.50191,8.54718,8.37536,9.36046,8.98088,8.77763,9.04046,8.32503,8.34339,9.0106,7.4259
"hsa-miR-3141",8.30202,8.33941,7.49589,8.20309,8.4612,8.25902,9.40045,9.57855,8.90023,8.85855,10.1591,8.10017
"hsa-miR-4741",7.70844,5.35049,7.27469,7.77952,8.30634,8.05024,9.62883,10.0651,9.60067,9.97965,10.5274,9.48955
"hsa-miR-4739",8.6921,8.72021,7.82317,8.16792,8.78264,8.55734,9.37248,9.52692,8.66718,8.64678,9.65552,7.10665
"hsa-miR-1207",8.69274,8.85024,7.78888,8.29649,9.09104,8.62896,8.59615,8.75113,8.52247,8.15911,9.23634,8.27947
"hsa-miR-4440",9.84772,10.6027,10.5218,7.91566,7.3887,7.94309,7.62198,8.04741,8.45151,7.71514,7.74334,8.76638
"hsa-miR-4758",8.01877,7.9716,7.5158,7.21535,7.57484,7.36233,9.20225,9.8807,9.17997,9.40213,9.80513,7.70953
"hsa-miR-4467",8.35849,8.21574,8.19266,9.15332,8.08325,8.61092,8.46397,8.55525,8.50741,8.24207,9.00189,6.97046
"hsa-miR-320b-1",10.7341,10.4059,10.4129,12.1663,13.2309,12.7657,5.37866,5.08684,4.63466,4.93251,5.40571,4.89636
"hsa-miR-4459",8.49032,8.53932,7.49512,7.85526,8.40555,8.1344,8.54701,8.853,8.35641,8.12884,9.28094,7.25831
"hsa-miR-4649",7.72767,8.27258,7.32298,7.65158,7.59271,7.40865,8.86723,9.21702,8.70704,8.52956,9.52552,8.4105
"hsa-miR-4695",7.68138,7.39379,7.49292,7.82077,8.15514,7.79577,8.72055,9.05341,8.87367,8.24754,9.15675,8.79772
"hsa-miR-4507",9.30433,9.48645,9.14697,8.11692,8.46849,8.29503,7.49721,7.64985,8.09666,7.10478,7.77257,8.13351
"hsa-miR-1275",9.41863,9.29408,8.90176,9.76649,9.94547,9.75978,7.35714,7.07727,6.74917,6.88053,7.30185,6.41047
"hsa-miR-4706",7.65631,7.74531,6.8188,6.53598,6.50908,6.54842,9.69836,10.0621,9.16385,9.4765,9.90871,8.55597
"hsa-miR-3621",7.59509,6.80007,6.32976,7.71871,7.69018,7.71723,8.89454,9.22009,8.94175,9.34355,9.86803,8.42514
"hsa-miR-92b",7.15159,7.40797,6.35853,7.19569,7.00861,6.8641,9.44502,9.7972,8.48871,8.98288,10.0916,6.95556
"hsa-miR-4505",7.80592,8.05659,6.95599,8.1159,8.31443,8.4775,7.80382,8.09267,7.83441,7.69795,8.18765,7.57295
"hsa-miR-1910",7.74093,8.4336,7.85896,6.10687,6.06377,6.20043,8.04069,8.76886,8.97575,8.43429,8.17541,9.68278
"hsa-miR-1973",2.69474,2.88892,2.03821,1.76381,3.52438,1.86647,13.4152,13.2074,13.3688,12.9534,12.9772,13.4307
"hsa-miR-4463",9.15099,9.18394,8.93655,8.45795,8.97266,8.69814,6.49658,6.31294,6.69968,6.8523,7.62228,6.71448
"hsa-miR-1307",6.68056,5.02438,5.74268,6.93363,6.76933,6.83597,9.34142,9.87034,9.0289,9.1834,10.1295,8.34495
"hsa-miR-4749",6.86952,6.77544,6.21364,7.3358,7.12244,6.86268,8.52584,8.95656,8.76625,8.88714,8.95656,8.52915
"hsa-miR-320c-1",10.5182,10.0776,10.0942,11.8027,12.8865,12.1541,4.50062,4.25179,4.45747,3.94762,4.49321,3.84459
"hsa-miR-4486",7.07183,7.90257,6.70052,7.75521,7.51169,7.46984,7.7576,7.96293,7.60261,8.03153,8.45125,8.4218
"hsa-miR-483",7.74071,8.21435,6.69014,7.81318,8.55419,7.95027,8.52027,8.63224,6.78816,7.79958,7.92168,5.57001
"hsa-miR-4728",6.7516,6.75794,5.88274,7.19768,7.73361,7.34798,8.25223,8.43382,8.49765,8.37173,8.64155,8.28314
"hsa-miR-1909",7.11959,7.30429,6.05919,7.11859,6.88684,6.96019,8.55428,9.12638,8.20389,8.68686,9.2464,6.65619
"hsa-miR-3135b",8.14901,7.1802,7.66337,7.88683,7.64905,7.61055,7.26355,7.64416,7.59487,7.4751,8.38452,6.75528
"hsa-miR-297",8.9582,9.34216,8.88838,7.36486,6.22512,7.19785,6.30396,7.07949,8.1835,7.31219,4.94791,9.35439
