"","GSM4567692","GSM4567693"
"hsa-let-7a-5p",8.8645063347889,4.71996460661308
"hsa-let-7b-5p",4.64445501475241,2.48451377606837
"hsa-let-7c-5p",2.90010418739622,3.59902267762436
"hsa-let-7d-5p",10.6081026184027,3.2115631479195
"hsa-let-7e-5p",2.97138315873047,2.42736668698174
"hsa-let-7f-5p",5.71672844266048,5.61527906637729
"hsa-miR-15a-5p",4.64718059636244,5.27965362680907
"hsa-miR-16-5p",3.11875838897983,1.83459310977847
"hsa-miR-17-5p",5.00417821032758,4.0138259696347
"hsa-miR-17-3p",2.38871636223804,7.29014579851043
"hsa-miR-18a-5p",1.90622680320575,3.59902267762436
"hsa-miR-19a-3p",5.04713665359128,4.75187232691269
"hsa-miR-19b-3p",3.50192238298087,3.55916334549425
"hsa-miR-20a-5p",4.48700989576389,3.42322074708108
"hsa-miR-21-5p",5.01752889818336,2.86639092801818
"hsa-miR-22-3p",3.75658087314872,4.25549914693831
"hsa-miR-23a-3p",3.88196956929674,4.65426980242027
"hsa-miR-24-1-5p",3.8149660484273,5.27965362680907
"hsa-miR-24-3p",7.7779688017465,7.83130583119546
"hsa-miR-25-3p",3.37743683135564,4.26056295227064
"hsa-miR-26a-5p",2.89973790121649,1.74264654770404
"hsa-miR-26b-5p",6.56734261523831,9.88895261775873
"hsa-miR-27a-3p",2.56596803727969,1.63364928379229
"hsa-miR-28-5p",1.80787213855542,2.77710931199844
"hsa-miR-29a-3p",2.55423961581979,1.97206655392339
"hsa-miR-30a-5p",4.08182243359491,9.14978308737406
"hsa-miR-30a-3p",2.85451017650756,2.97615335723091
"hsa-miR-31-5p",4.50414854761783,5.74985411899751
"hsa-miR-32-5p",11.0647244076524,1.89438280399425
"hsa-miR-33a-5p",4.34764057189604,5.90086902936722
"hsa-miR-92a-3p",5.29320080599142,5.87886271461861
"hsa-miR-93-5p",4.35817820946949,4.3070911282658
"hsa-miR-95-3p",11.4839251821913,3.48304699481788
"hsa-miR-96-5p",5.03190109191451,12.4081713336569
"hsa-miR-98-5p",5.08070319449151,10.8210114899422
"hsa-miR-99a-5p",2.07848243199485,4.62005192783132
"hsa-miR-100-5p",3.91448846429027,7.18280240208806
"hsa-miR-101-3p",4.88644752601518,4.57256890589663
"hsa-miR-29b-3p",5.00417821032758,3.39551158340276
"hsa-miR-103a-3p",3.62969186928106,4.08075980799505
"hsa-miR-105-5p",2.27329476892598,2.58700511246617
"hsa-miR-106a-5p",4.83684829512259,3.98166445149066
"hsa-miR-107",3.70504985637381,4.15878166034012
"hsa-miR-192-5p",4.57532419172207,4.40661503400892
"hsa-miR-196a-5p",2.94125846216557,2.44092350325727
"hsa-miR-197-3p",5.18077237917651,5.31755049083271
"hsa-miR-198",7.55581487460788,5.19800236698422
"hsa-miR-199a-5p",3.52831701208126,3.75186654404762
"hsa-miR-199a-3p, hsa-miR-199b-3p",3.47089498904336,6.1696523263503
"hsa-miR-208a-3p",5.15045504489766,6.18872057369809
"hsa-miR-129-5p",3.88805682542351,4.022741356095
"hsa-miR-148a-3p",3.99911481542649,2.22763142192085
"hsa-miR-30c-5p",2.85451017650756,2.74280734186947
"hsa-miR-30d-5p",3.91605093882758,3.1842736284863
"hsa-miR-139-5p",11.3161449937186,6.39917729876264
"hsa-miR-147a",2.55423961581979,2.31906410120651
"hsa-miR-7-5p",2.86057134049758,4.2655626912917
"hsa-miR-10a-5p",2.18712447072388,3.53124507649774
"hsa-miR-10b-5p",4.04625094027534,3.31411498061205
"hsa-miR-34a-5p",5.08195891249662,3.97611824671834
"hsa-miR-181a-5p",2.86817351388876,5.27662380777411
"hsa-miR-181b-5p",2.5011114601201,2.65123221055955
"hsa-miR-181c-5p",1.82582632350691,5.67820523553214
"hsa-miR-182-5p",4.99968324858462,3.43830216784546
"hsa-miR-182-3p",3.86912055547426,3.77821267734755
"hsa-miR-183-5p",1.87457508653271,3.13758368946296
"hsa-miR-187-3p",4.52838034291443,4.59763974470988
"hsa-miR-199b-5p",3.19531436555369,3.1620680482806
"hsa-miR-203a-3p",4.78550493716479,3.14666108672153
"hsa-miR-204-5p",3.16151237165781,3.46851645885821
"hsa-miR-205-5p",2.819523498042,2.4610061820667
"hsa-miR-210-3p",4.48347413242048,5.16995457638751
"hsa-miR-211-5p",4.16262109426446,4.20978655071474
"hsa-miR-212-3p",4.04328867898897,3.52701927461804
"hsa-miR-181a-3p",1.83732971384165,6.76488662121854
"hsa-miR-214-3p",5.21442139793888,5.71348406841309
"hsa-miR-215-5p",2.79686890872087,3.13758368946296
"hsa-miR-216a-5p",1.6935569857503,6.68841714148475
"hsa-miR-217",2.71868996972829,6.74262593522575
"hsa-miR-218-5p",7.63621295149512,2.86790357863559
"hsa-miR-219a-5p",9.7195181083489,4.45284447181412
"hsa-miR-221-3p",5.13506150014324,4.40305464318301
"hsa-miR-222-3p",3.250815478109,2.82556503494173
"hsa-miR-223-3p",2.98123654575655,2.91892618986651
"hsa-miR-224-5p",2.74557015715555,5.57194964039306
"hsa-miR-200b-3p",2.54630800475441,2.20856626440844
"hsa-let-7g-5p",3.25926917222534,4.25124796250367
