"","GSM980306","GSM980307","GSM980308","GSM980309","GSM980310","GSM980311","GSM980312","GSM980313","GSM980314","GSM980315","GSM980316","GSM980317","GSM980318","GSM980319","GSM980320","GSM980321","GSM980322","GSM980323","GSM980324","GSM980325"
"hsa-let-7a-5p",-0.044,-0.027,0.004,-0.069,-0.087,-0.255,-0.481,-0.149,-0.068,-0.125,0.035,0.006,0.026,-0.594,0.055,0.109,0.02,0.058,-0.308,-0.034
"hsa-let-7a-3p",-0.07,0.026,0.114,-0.284,-0.036,-0.25,0.685,-0.449,0.653,-0.002,0.004,0.062,1.067,0.328,-0.249,-0.174,0.422,-0.154,-0.013,-0.298
"hsa-let-7a-2-3p",0.689,-0.532,0.676,0.101,0.012,0.377,-0.031,0.338,0.479,-0.163,0.222,-0.016,0.06,-0.56,-0.307,-0.083,0.509,0.352,-0.139,0.281
"hsa-let-7b-5p",-0.55,0.136,0.009,0.059,0.002,0.056,-0.56,0.012,-0.013,-0.045,0.162,-0.002,-0.376,-0.849,0.097,0.216,0.336,0.038,-0.002,0.004
"hsa-let-7b-3p",1.514,-0.243,1.3,1.217,-0.517,0.323,0.066,-0.205,-0.36,-0.066,0.278,0.24,-0.763,1.575,1.253,0.272,-0.82,0.375,-0.187,0.428
"hsa-let-7c-5p",-0.389,0.104,0.032,0.015,0.051,-0.015,-0.721,-0.039,-0.015,-0.013,0.07,-0.011,-0.443,-1.455,-0.085,0.086,0.166,-0.069,-0.21,0.011
"hsa-let-7d-5p",-0.203,0.163,0.053,0.088,0.145,0.05,-0.295,-0.061,-0.001,0.139,0.197,-0.041,0.041,-0.744,0.076,0.19,0.168,0.19,0.001,-0.066
"hsa-let-7d-3p",-1.118,-1.063,1.323,-0.683,0.864,1.409,0.128,2.133,0.645,0.918,-0.225,0.266,-1.348,-1.523,-0.06,0.06,-0.854,0.561,0.708,1.481
"hsa-let-7e-5p",-2.646,0.413,-0.401,0.05,-0.05,-0.33,-1.67,-1.013,-0.353,-0.294,0.054,-0.117,-0.368,-7.883,0.183,0.39,0.557,-0.082,-0.155,0.118
"hsa-let-7e-3p",0.143,-0.217,-0.014,0.626,0.014,-0.066,-0.03,-0.2,-0.086,-0.343,-0.026,-0.188,-0.146,0.288,-0.066,-0.406,0.133,-0.169,0.097,0.417
"hsa-let-7f-5p",0.063,0.323,0.011,0.328,0.046,-0.028,-0.212,-0.213,-0.011,-0.065,0.406,0.228,0.24,-0.993,0.337,0.687,0.425,0.28,-0.091,0.181
"hsa-let-7f-1-3p",-0.18,-0.308,0.433,-0.275,0.338,0.62,-0.692,0.236,-0.256,0.797,0.815,0.165,-0.566,-0.256,0.809,0.061,-0.444,-0.182,1.05,0.132
"hsa-let-7f-2-3p",-0.111,-0.11,-0.023,0.173,0.09,0.041,0.242,-0.388,0.023,-0.013,-0.169,-0.204,-0.183,0.048,-0.168,0.006,-0.006,0.018,0.018,0.237
"hsa-miR-15a-5p",0.07,-0.06,0.149,0.324,-0.262,-0.039,-0.065,0.124,0.139,-0.108,-0.022,0.29,0.362,-0.338,0.116,0.037,0.022,0.187,0.158,0.154
"hsa-miR-15a-3p",0.714,-0.348,-0.12,0.297,-0.306,0.254,0.254,-0.073,-0.094,-0.176,0.007,-0.007,-0.237,-0.338,0.128,0.011,-0.263,0.401,0.078,0.564
"hsa-miR-16-5p",0.222,0.052,0.027,0.391,0,0.055,0.341,0.042,0.082,0.019,-0.111,-0.118,0.276,0.198,-0.292,-0.313,-0.037,-0.135,0,0.035
"hsa-miR-16-1-3p",-0.056,-0.732,-0.108,0.144,-0.008,0.111,-0.262,0.057,0.074,-0.322,-0.044,0.512,-0.527,-0.081,0.264,0.008,-0.132,-0.463,0.161,0.357
"hsa-miR-17-5p",-0.236,-0.002,-0.028,-0.009,-0.081,0.127,0.096,-0.022,0.174,0.091,0.002,0.259,0.073,0.182,0.234,0.079,-0.012,0.221,0.312,0.188
"hsa-miR-17-3p",-6.281,-0.71,0.137,-0.293,0.539,0.266,-0.861,0.05,0.186,0.314,0.359,0.729,-0.572,-6.69,0.658,0.324,-0.05,0.505,0.563,0.777
"hsa-miR-18a-5p",-0.246,0.256,0.161,-0.074,-0.06,-0.068,0.205,-0.104,-0.007,0.119,0.151,0.213,0.345,0.292,0.461,0.124,0.007,0.136,-0.041,0.013
"hsa-miR-18a-3p",-4.672,-0.143,0.753,0.209,0.291,0.82,0.502,0.884,-0.485,0.558,0.102,0.136,-0.718,-3.339,0.3,-0.102,-1.399,0.529,0.281,0.263
"hsa-miR-19a-5p",1.93,0.842,0,0.21,-0.105,-0.145,0.448,-0.137,0,-0.117,-0.154,-0.178,0.679,-0.213,0.002,-0.162,-0.138,-0.196,0.204,0.086
"hsa-miR-19a-3p",-4.72,-0.412,-0.562,1.356,-0.018,0.61,0.611,0.487,-0.13,0.04,0.659,0.563,1.283,-5.665,0.515,0.768,-0.347,0.544,0.018,0.525
"hsa-miR-19b-1-5p",0.065,-0.383,-0.414,-0.33,-0.002,-0.12,-0.264,-0.113,-0.035,0.002,-0.151,0.13,0.437,-0.113,-0.02,0.066,0.006,0.033,0.062,0.033
"hsa-miR-19b-3p",0.608,0.335,-0.086,0.758,-0.05,0.148,0.577,0.234,0.161,-0.171,0.05,-0.087,0.851,0.453,-0.278,0.188,0.096,-0.125,-0.057,0.104
"hsa-miR-19b-2-5p",0.163,0.488,0.169,0.198,-0.121,-0.238,0.107,-0.123,0.393,-0.235,-0.029,-0.026,0.423,0.662,-0.078,0.144,0.003,-0.183,-0.092,-0.003
"hsa-miR-20a-5p",-0.022,0.089,-0.097,0.093,-0.103,-0.058,0.113,-0.105,0.115,-0.029,0.015,0.212,0.288,0.224,0.176,0.028,-0.015,0.053,0.098,0.037
"hsa-miR-20a-3p",0.783,-0.451,4.196,-0.289,-0.07,0.02,-0.075,0.347,0.469,0.11,-0.376,-0.105,-0.02,-0.455,0.105,0.133,1.358,0.065,-0.334,0.251
"hsa-miR-21-5p",-5.458,-0.843,-1.066,0.907,-0.39,-0.149,-3.169,-0.489,-0.97,-0.275,0.146,0.525,-0.407,-6.437,0.498,0.39,-0.912,0.182,-0.146,0.21
"hsa-miR-21-3p",-1.108,-1.243,-0.388,-1.175,0.106,-0.012,-1.054,0.303,-0.619,-0.027,-0.506,0.221,-1.261,-1.529,0.514,-0.915,-1.422,0.126,0.012,0.335
"hsa-miR-22-5p",-1.343,-1.763,-0.579,-0.529,-0.13,0.95,-1.393,0.732,-0.642,-0.001,0.001,0.671,-1.651,-1.321,0.794,0.52,-1.375,0.856,0.951,0.952
"hsa-miR-22-3p",-0.691,-0.332,0.121,-0.363,-0.011,0.337,-0.416,0.164,0.467,-0.012,0.026,0.176,-0.187,-0.244,-0.169,-0.266,-0.103,0.265,0.235,0.31
"hsa-miR-23a-5p",-4.117,-0.182,-0.416,-0.307,0.679,0.202,-3.836,2.04,-1.165,0.886,1.234,0.81,-3.395,-3.394,1.339,1.077,-0.172,0.625,0.711,0.698
"hsa-miR-23a-3p",-0.882,-0.227,-0.405,-0.309,-0.328,-0.468,-0.004,-0.107,0.156,-0.062,-0.305,0.171,0.156,-0.582,-0.03,-0.222,0.357,0.004,0.234,0.005
"hsa-miR-24-1-5p",0.006,-0.025,-0.23,0.105,-0.073,-0.096,-0.179,0.336,0.428,-0.188,-0.022,-0.055,0.12,-0.035,-0.055,-0.145,0.084,-0.156,-0.001,0.001
"hsa-miR-24-3p",-0.342,-0.351,-0.388,-0.449,-0.16,-0.236,-0.378,-0.211,0.006,0.073,-0.072,0.223,-0.132,-0.153,0.339,-0.01,0.151,0.112,0.155,-0.006
"hsa-miR-24-2-5p",-2.476,-2.686,-0.157,-1.966,0.066,-0.612,-3.307,0.126,-0.607,-0.086,-0.066,0.605,-2.541,-2.479,0.468,-0.135,-1.995,0.544,0.524,0.621
"hsa-miR-25-5p",-6.489,0.073,0.194,-0.039,0.139,0.31,-1.934,0.513,-1.076,0.826,0.762,0.153,-2.358,-6.105,0.913,0.936,0.376,0.388,0.039,-0.154
"hsa-miR-25-3p",0.238,-0.018,0.185,0.294,-0.069,-0.093,-0.016,0.078,0.143,0.016,-0.017,0.086,0.57,-0.272,-0.051,0.091,0.093,0.18,0.057,0.189
"hsa-miR-26a-5p",-0.241,-0.171,-0.122,0.163,-0.047,-0.104,0.193,-0.092,-0.038,0.024,-0.079,-0.017,0.295,-0.172,-0.067,-0.175,0.069,-0.032,0.105,0.017
"hsa-miR-26a-1-3p",-0.143,-0.195,0.156,0.182,-0.493,-0.048,-0.049,-0.02,0.005,-0.045,0.08,0.131,0.109,0.067,0.189,0.344,0.041,0.034,-0.038,0.471
"hsa-miR-26b-5p",-5.403,-0.944,-1.076,0.752,0.114,0.24,-2.006,0.188,0.263,0.288,0.519,0.662,0.019,-6.564,0.288,0.754,-0.137,0.177,-0.019,0.548
"hsa-miR-26b-3p",0.177,0.111,0.037,0,0.388,-0.263,0.547,0.076,1.229,0.601,-0.191,0.164,-0.3,-0.564,0,-0.349,-0.024,0.41,0.334,0.474
"hsa-miR-27a-5p",-2.203,-1.899,-1.102,-1.834,-1.165,-1.196,-2.452,0.922,-1.437,-0.133,-0.235,0.133,-1.455,-2.243,1.207,0.425,-1.808,0.561,0.604,0.895
"hsa-miR-27a-3p",-7.674,-0.391,-0.576,0.172,-0.229,-0.054,0.056,0.002,0.186,-0.191,-0.264,-0.138,1.109,-1.657,-0.052,-0.335,0.053,-0.002,0.125,-0.062
"hsa-miR-28-5p",-6,-1.229,-0.562,-0.747,-0.32,-0.327,-3.715,-0.035,-0.736,0.337,0.125,0.322,-1.327,-6.344,0.346,0.062,-0.073,0.239,-0.009,0.009
"hsa-miR-28-3p",-5.648,-1.362,-0.678,-0.822,-0.205,-0.19,-3.456,0.409,-0.622,0.657,0.11,0.338,-0.38,-5.789,-0.022,-0.417,-0.302,0.241,0.236,0.022
"hsa-miR-29a-5p",0.888,-0.194,0.001,-0.094,-0.127,0.224,0.021,-0.105,-0.148,-0.215,-0.191,0.18,0.396,0.099,-0.155,-0.001,0.002,0.075,0.334,0.097
"hsa-miR-29a-3p",-5.91,-0.994,-0.958,0.509,-0.149,0.059,-1.57,-0.009,-0.307,-0.04,-0.259,0.009,-0.169,-5.659,0.185,-0.401,-0.72,0.473,0.174,0.283
"hsa-miR-30a-5p",-3.588,0.112,0.349,0.632,0.076,0.14,-0.219,0,-0.529,0,0.216,0.078,-1.034,-6.465,-0.311,0.142,-0.254,-0.113,-0.288,0.21
"hsa-miR-30a-3p",0.274,-0.032,-0.04,-0.028,-0.018,0,0.408,-0.249,-0.152,0.574,-0.447,-0.148,-0.082,0,0.205,-0.047,-0.154,0.161,0.262,-0.081
"hsa-miR-31-5p",-2.902,-1.454,-0.108,0.499,1.432,0.316,-2.333,-3.48,-2.256,-0.991,0.419,-0.757,-2.678,-3.48,0.789,-2.294,-2.174,-0.411,0.108,1.184
"hsa-miR-31-3p",-0.031,0.001,-0.215,-0.293,-0.216,-0.336,0.229,-0.291,0.202,-0.197,0.001,-0.093,0.079,-0.001,-0.015,0.044,0.001,0.027,-0.047,0.322
"hsa-miR-32-5p",0.255,-0.614,-0.049,0.599,0.036,-0.027,1.613,0.224,-0.021,0.066,0.007,0.45,-0.23,0.595,-0.007,-0.097,-0.236,-0.159,0.176,0.359
"hsa-miR-32-3p",-0.211,0.001,0.852,0.08,0.271,-0.022,-0.229,-0.007,0.252,-0.001,0.172,-0.224,0.733,2.406,0.059,0.038,0.705,0.271,-0.004,-0.155
"hsa-miR-33a-5p",1.054,-0.081,0.089,-0.025,-0.168,-0.168,0.24,-0.301,0.027,-0.028,-0.091,0.223,0.396,0.104,-0.176,0.161,-0.059,-0.031,-0.256,-0.191
"hsa-miR-33a-3p",0.146,0.415,-0.134,0.361,-0.106,0.135,0.241,-0.132,-0.038,0.194,-0.131,-0.499,-0.064,0.029,0.002,-0.002,0.411,0.016,-0.128,0.156
"hsa-miR-92a-1-5p",-1.887,-1.479,-0.758,-1.072,0.131,0.711,-1.86,0.198,-0.851,0.093,-0.208,0.618,-1.715,-2.036,0.351,0.701,-1.138,-0.031,0.303,0.031
"hsa-miR-92a-3p",0,-0.176,0.019,-0.171,0.05,0.015,0.032,0.035,0.029,0.032,0.042,0.011,0.078,-0.146,-0.064,-0.308,-0.124,0.025,0,0.012
"hsa-miR-92a-2-5p",-0.079,0.201,0.473,0.534,-0.03,-0.119,0.553,1.545,-0.151,-0.063,0.35,0.047,0.187,-0.054,0.047,0.265,0.006,0.13,0.06,-0.165
"hsa-miR-93-5p",0.004,-0.02,0.01,-0.115,0.035,0.109,-0.004,-0.013,0.048,0.016,-0.081,0.127,0.07,0.165,0.279,0.004,-0.131,0.217,0.267,-0.059
"hsa-miR-93-3p",-3.539,-0.001,0.122,-0.051,0.201,0.567,1.056,0.237,0.001,0.244,0.121,-0.028,0.17,0.613,0.288,-0.308,-0.45,0.392,0.513,-0.202
"hsa-miR-95-3p",0.404,0.358,0.026,0.028,-0.268,-0.276,0.131,0.277,0.181,-0.193,-0.322,-0.335,0.623,0.64,-0.278,-0.026,-0.061,-0.274,-0.35,0.069
"hsa-miR-96-5p",-1.228,-0.054,-1.074,-0.114,0.455,0.054,-0.157,1.505,-0.087,0.281,0.561,0.812,0.341,0.5,1.239,-0.327,0.124,0.331,0.958,-0.1
"hsa-miR-96-3p",-0.355,-0.318,0.019,-0.098,-0.2,-0.012,0.343,0.229,-0.173,-0.143,0.264,0.211,0.228,-0.002,-0.077,-0.238,1.203,-0.075,0.281,0.002
"hsa-miR-98-5p",-4.331,0.383,0.218,0.594,0.191,-0.236,-1.705,0.155,-0.456,-0.121,-0.001,0.459,0.046,-4.485,0.33,0.658,0.237,0.31,0.001,0.582
"hsa-miR-99a-5p",-2.503,-1.439,-2.13,-2.265,-0.309,0.463,0.023,-0.023,-1.555,-0.484,0.127,0.178,-2.317,-2.581,-0.095,-0.084,-2.019,0.515,0.338,0.128
"hsa-miR-99a-3p",0.532,0.005,0.054,0.059,-0.171,-0.473,-0.362,0.393,0.092,0.033,-0.251,-0.201,-0.117,-0.173,-0.313,-0.282,-0.005,-0.076,-0.177,-0.177
"hsa-miR-100-5p",-4.571,-1.045,-0.594,-1.422,1.476,0.758,1.261,0.035,-1.836,-0.676,-1.392,-1.24,-2.295,-4.256,-0.035,0.473,-3.491,-1.173,1.603,0.645
"hsa-miR-100-3p",-0.263,-0.041,-0.278,-0.005,0.132,0.059,0.484,0.218,0.511,0.005,0.456,0.229,0.438,-0.532,-0.165,0.326,0.334,0.262,0.04,-0.065
