"","GSM1332375","GSM1332376","GSM1332377","GSM1332378","GSM1332379","GSM1332380","GSM1332381","GSM1332382"
"hsa-miR-17",13.65541668,14.27819606,13.80881137,13.48129112,13.68163154,13.47637283,14.20336406,14.01481729
"hsa-miR-92a-1 ",13.93972704,13.55848051,13.89033459,13.76098601,13.86172279,13.68856286,13.71434642,13.6372226
"hsa-miR-106a",13.4384761,13.87014988,13.6765819,13.02584845,13.47544719,12.97105024,14.00506483,13.85484307
"hsa-miR-20a",13.53391978,13.97192699,13.46021526,13.02304548,13.30130756,13.05798343,13.65405418,13.54572348
"hsa-miR-16-1 ",12.80339436,12.98437306,13.16941067,13.29753249,13.3770112,13.21166613,12.8121739,12.74938195
"hsa-miR-1826",13.01712698,12.19729995,11.73336112,13.79107435,13.63469876,13.77603817,12.63892751,13.20712188
"hsa-miR-19b-1 ",13.02075585,13.44394718,11.9128493,11.46975119,11.68615513,12.17147738,12.97451013,13.03853032
"hsa-miR-26a-2 ",12.63081656,12.47774891,11.43650907,12.61025136,12.93493551,12.78862944,11.96433726,12.06296659
"hsa-miR-923",12.19711101,11.98349565,12.78653715,13.6155009,13.43298941,13.64803507,10.23436839,10.71734998
"hsa-miR-103-2 ",12.18966212,12.29170341,12.5362596,12.21006888,12.25072773,12.12807941,12.51809593,12.33734315
"hsa-miR-191",13.14472005,12.84063632,12.26863293,12.04388888,12.14748956,11.95269284,11.98813931,11.75818073
"hsa-miR-93",12.37577824,12.71012495,12.31346525,11.92484738,12.11215896,11.89921944,12.20337859,12.25589458
"hsa-miR-106b",11.8509951,12.71545499,12.37885188,11.72367843,11.91393581,11.80162228,12.31332296,12.14671027
"hsa-miR-638",10.97424823,11.84943091,12.41938878,13.4372397,12.72457695,13.19192022,10.88191311,11.16646942
"hsa-miR-107",12.05439098,12.22777837,12.15454568,11.79193858,11.99872687,11.57462238,12.39070315,12.18277732
"hsa-miR-320a",11.84407803,11.36734376,12.67293355,12.25943375,12.45995998,12.22822285,11.05793217,10.87410379
"hsa-miR-320b-1 ",11.8416072,11.38425923,12.67844785,12.29835904,12.41175857,12.24247538,11.03220831,10.84130723
"hsa-miR-23a",11.46517354,11.59094347,13.04071045,12.24611589,12.94471462,12.42577163,10.46032995,10.25640096
"hsa-miR-1308",9.894618924,10.79230715,11.80621247,12.21687891,11.75139593,12.55809397,12.71520699,12.66360769
"hsa-miR-18a",11.99065214,12.32930863,11.68861881,10.30466618,10.86926455,10.37522193,12.57240678,12.56396199
"hsa-miR-320c-1 ",11.50723271,11.1394567,12.42449385,11.92163567,12.24506093,11.84590045,10.83851614,10.75320421
"hsa-miR-24-2 ",10.37034086,10.57204457,12.93229098,12.45456971,12.83851811,12.62783343,10.49198133,10.23087307
"hsa-let-7a-2 ",13.06382749,12.09748274,11.65335655,10.89149969,11.16796125,10.84672052,11.14031982,10.98484707
"hsa-miR-15b",12.05875787,11.74728291,11.49278253,10.48507859,11.29357338,10.26738481,11.85671808,11.68257505
"hsa-miR-149",10.5895182,11.04378125,11.75959987,12.72534091,12.23062123,12.40933126,9.081318055,9.357804234
"hsa-miR-768",10.57854724,10.33444872,11.51748092,12.24258911,11.14964552,12.17756467,9.976869098,10.52797444
"hsa-miR-1228",9.833726914,10.38933019,11.27852902,12.05365578,11.68196792,11.58708084,9.342160249,9.557573407
"hsa-let-7b",11.15493327,10.41312649,12.64219478,12.47971813,12.46663375,12.29499544,6.9243826,6.929676212
"hsa-let-7d",10.41286619,10.05064453,12.2617826,11.49429109,11.88892091,11.71766957,9.003886093,8.081982936
"hsa-let-7c",10.85554283,9.946591391,11.57613095,11.00918619,11.34077532,10.90864931,9.198247839,9.139479727
"hsa-miR-20b",10.62696654,11.34880836,9.914529843,9.782994279,9.978750494,8.95324894,11.40786947,11.85211162
"hsa-miR-320d-1 ",10.79232423,10.66860049,11.02432453,10.31491513,10.72313445,10.64393824,9.684440591,9.691184127
"hsa-miR-182",11.55256632,10.56657259,9.541317941,9.933864564,10.17821168,10.02002014,10.91288111,10.47142221
"hsa-miR-425",11.12900669,11.28403864,10.50662594,9.754011099,10.22211867,9.966933655,10.16915335,10.13471124
"hsa-miR-23b",9.876945394,9.756608025,10.6535742,9.71858322,10.32736177,9.882242126,11.29705038,11.03458027
"hsa-miR-663",9.18056487,9.502369988,10.23295569,10.84736512,10.75582979,11.05927077,9.621009883,9.82762534
"hsa-miR-25",11.21031458,10.35648388,9.227272977,8.568856006,8.926592807,8.446972023,11.46819229,11.33324258
"hsa-miR-222",8.406150571,8.632921062,9.527590775,8.835635165,9.008686883,9.06067756,12.99733264,12.74936477
"hsa-miR-221",8.906499813,9.087433934,9.063276155,8.046824433,8.637157377,8.206940597,13.17244345,12.8309889
"hsa-miR-361",10.82339113,10.55401415,9.033603602,8.16720687,9.638786318,8.616224247,10.47326435,10.25935606
"hsa-miR-210",9.774354021,10.21881143,10.60580913,9.253264381,10.21698952,9.313389624,8.555889377,8.948337443
"hsa-miR-193b",9.124305903,9.222138237,10.29011449,9.927022942,10.53203053,10.0836309,8.617211412,8.650375404
"hsa-miR-30c-1 ",9.93581964,9.53410344,7.64708997,8.89252946,9.776678122,9.059657033,10.56200196,10.48703507
"hsa-miR-130b",9.375612267,9.497405989,9.302597116,8.549450086,8.811428001,8.656784866,10.84163196,10.73507279
"hsa-miR-125b-1 ",9.773662604,9.944069842,9.873734468,9.376750964,9.605335241,9.858603489,8.242164696,8.387944072
"hsa-miR-29a",10.00560911,10.82146548,9.941632198,9.922350847,9.678932299,9.493367131,7.656104467,7.478072266
"hsa-miR-423",9.226786667,9.293709818,9.732391319,8.857893,9.545809716,8.648279198,9.651253726,9.681425194
"hsa-miR-27a",8.292867775,9.135462789,10.85461597,9.914775878,10.44465671,9.8550815,7.514184607,7.485198168
"hsa-miR-181a-1 ",3.86804369,6.327204289,11.10254397,10.71835734,10.65743279,10.6642366,9.747699733,10.09590201
"hsa-miR-99a",9.258602071,9.652307402,9.524904253,8.696782919,9.0688535,8.957655791,7.98894821,8.095359043
"hsa-miR-140",8.48608885,8.446304209,9.33776282,9.319653607,9.113662738,9.463665979,8.002780705,7.875018221
"hsa-let-7i",6.988019985,8.139329815,10.95642262,10.27342381,10.51604963,10.19248146,6.681761272,6.250319454
"hsa-miR-185",8.720887213,8.703240196,8.360250574,7.785712702,7.972043525,7.659584247,10.09679816,9.955005563
"hsa-miR-181b-1 ",5.196566916,6.224678955,9.922384299,9.377867729,9.527214052,9.083534109,9.524226109,9.542005517
"hsa-miR-18b",9.077685227,9.794059698,8.212316417,6.628224754,7.387258271,6.409435235,10.53747663,10.22913485
"hsa-miR-92b",8.277541274,8.469979153,8.686293563,8.003742205,8.637532363,8.152619488,8.394847648,7.825014093
"hsa-miR-15a",8.444864152,9.177909821,8.28693473,7.200228706,7.539292215,7.193036412,8.965954801,9.247165626
"hsa-miR-152",10.17681767,10.86654948,8.834858772,8.032699821,8.065513613,8.101489877,5.848484986,5.320167655
"hsa-miR-30d",7.844462235,7.928913304,8.689184174,7.827703452,8.546871315,8.293865204,8.344533822,7.751950367
"hsa-miR-1268",7.776562655,7.791230625,8.496916875,9.104408216,8.606401511,8.854265317,7.081740131,7.303091194
"hsa-miR-194-2 ",11.02481485,11.57887646,7.620086365,6.209433675,6.608481495,5.983923899,8.058224484,7.757245316
"hsa-miR-532",7.451554844,7.612956199,8.591936302,7.915355971,8.457716169,7.93237186,8.447845297,7.975623882
"hsa-miR-22",6.907597343,7.99407845,8.244394282,7.994613664,7.848841362,7.90192882,8.791952084,8.502134449
"hsa-miR-1207",7.566695685,7.761871648,8.183016987,9.060324674,8.710398703,8.571792455,6.292899147,7.048639446
"hsa-miR-629",7.629943779,7.633948442,7.659348764,7.34236629,7.195281644,7.494607616,8.902461945,9.041255852
"hsa-miR-378",9.230510701,9.614222484,6.821642619,4.922650761,5.456030722,5.363517689,10.61316511,10.69083435
"hsa-miR-1275",6.360764053,6.839671171,8.164364935,8.604953829,8.066049354,8.365148782,7.879257305,8.012545768
"hsa-miR-1246",7.8136196,8.731722929,8.995823953,9.315340927,8.965540737,8.478761531,5.363030516,4.594221279
"hsa-miR-744",6.896002953,7.056468646,7.672300162,7.211395797,7.791675394,7.561592683,9.03991893,8.611081249
"hsa-miR-19a",8.432417042,9.669683385,7.018657539,5.401506915,6.542724683,5.47288998,9.348410594,9.343627008
"hsa-miR-181d",8.110550125,8.23377592,7.312107866,7.596411922,7.801802757,7.30973281,7.504583053,7.205150062
"hsa-miR-1307",7.482608728,7.672423928,7.828770559,7.619093827,7.543242214,7.68129394,7.669455569,7.536108088
"hsa-miR-455",2.238301702,3.801834308,9.417534834,8.251131103,9.201264319,8.644725873,9.487169366,9.172189707
"hsa-miR-324",7.391827854,7.629116151,8.035685487,7.16024659,7.433798231,7.249666242,7.669555487,7.556171111
"hsa-miR-30b",7.417162218,7.854758697,4.98771196,6.197329941,7.906014494,7.718749307,9.21547597,8.742889429
"hsa-let-7e",5.68990994,4.810232288,7.92211993,5.990032239,7.297284059,6.752897081,10.86852859,10.51825875
"hsa-miR-652",7.605873566,7.664642831,8.072646067,6.317582652,7.034228924,6.231491547,8.555680053,8.055158771
"hsa-miR-148a",7.655709596,8.688919215,7.624772797,6.418341598,7.250095621,7.230412469,7.733582117,6.818906787
"hsa-miR-146a",10.1016829,10.46745373,9.025166422,8.233380486,8.747436411,8.818074349,1.836672304,1.859162526
"hsa-miR-27b",7.194437752,7.635178301,7.391768579,4.678846582,6.763985139,5.770794432,9.537553696,9.398086528
"hsa-miR-126",7.542874005,7.932959977,7.107826986,6.639710425,7.890149951,6.111218525,7.598668911,7.343710721
"hsa-let-7f-1 ",9.083486508,8.157281747,8.096564421,7.071365822,7.585525192,4.478601703,7.42483813,6.263853016
"hsa-miR-128-1 ",7.994158801,8.093117505,7.138957781,5.25552226,6.119379627,6.224621273,8.626294203,8.094103028
"hsa-miR-574",7.447354378,7.194614055,7.981281854,6.761858354,8.044102819,6.921523212,6.800730389,6.15344482
"hsa-miR-500",6.635019219,6.30245103,7.298391634,7.069737606,7.348164242,6.893820868,7.692685935,7.386646289
"hsa-miR-502",6.107187149,6.074951286,7.764438386,6.760266196,7.435299383,7.054303674,7.556348173,7.338705189
"hsa-miR-1280",5.814338156,6.370268921,6.746890481,7.525304682,6.883099016,7.386863529,7.829141101,7.206659828
"hsa-miR-192",10.50883071,11.00584206,6.037291062,3.987373624,5.809122943,3.866398644,7.088224298,7.290818791
"hsa-miR-183",8.507039009,6.567175022,6.867875466,6.205061479,6.181727331,5.616747904,7.983853803,7.64301341
"hsa-miR-503",7.489532499,7.073926247,7.00477103,5.032337158,5.879646224,5.477817511,8.631332414,8.359768006
"hsa-let-7g",6.56586263,5.768778751,8.205327994,7.180250322,7.867175554,5.837889266,6.305515687,6.764161676
"hsa-miR-132",7.573126057,7.153344289,6.864307499,4.25276987,5.851988846,5.037805216,8.900186649,8.644801206
"hsa-miR-886",6.068662643,6.1562882,9.938854306,9.659082372,8.952717663,8.918861449,2.378543806,1.879545022
"hsa-miR-421",7.519876027,7.173147426,6.412986739,3.984010516,5.890997934,4.899920959,9.230218868,8.700853393
"hsa-miR-424",7.01716474,6.704672806,6.245171613,4.88615601,6.216725879,6.006250442,8.208596267,8.51860713
"hsa-miR-671",6.619629868,6.476632647,7.35992522,5.990843251,6.919448543,6.504905249,6.528620231,6.636015805
"hsa-miR-362",6.51746468,6.534919286,7.139862368,5.550070753,6.872621942,5.601789504,7.692771008,7.055974329
"hsa-miR-330",7.155172412,7.225950649,7.524706249,6.357953616,6.516943016,5.70947041,6.310753455,5.820220583
