"","GSM867220","GSM867221","GSM867222","GSM867223","GSM867224","GSM867225","GSM867226"
"hsa-miR-1307",8.71861,8.37431,7.66838,7.46165,6.80129,7.48061,4.82848
"hsa-miR-1268",7.66196,7.79051,10.0414,10.1856,6.92733,6.19887,2.23716
"hsa-miR-130a",8.12636,8.30853,7.59942,7.42448,8.47003,8.82141,2.21486
"hsa-miR-768",7.02242,6.75041,7.98009,7.54722,7.03079,7.41378,6.40971
"hsa-miR-324",7.81387,7.76599,7.07076,7.22909,8.17032,8.19094,3.88303
"hsa-miR-1207",6.93945,7.48503,10.0487,10.4252,6.28525,6.80826,1.78209
"hsa-miR-92b",7.96689,7.84369,6.38922,6.7543,6.39614,6.77218,7.33517
"hsa-miR-197",6.41743,6.22629,5.115,5.72129,8.00676,7.86148,9.7566
"hsa-miR-1275",8.17735,7.91385,9.2708,9.53386,5.06907,5.79281,3.07002
"hsa-miR-30a",7.9669,7.98014,7.70404,7.69123,6.53838,6.97132,3.67742
"hsa-miR-886",7.77836,7.65314,7.80686,7.66117,6.58039,6.55658,4.15333
"hsa-miR-502",7.32864,6.7568,6.96578,7.04427,7.9836,7.94268,4.10406
"hsa-miR-885",3.8592,4.20339,6.76336,5.97488,8.13723,7.77863,11.0453
"hsa-miR-532",7.26645,7.16808,7.35043,7.24081,7.29056,7.37254,3.83967
"hsa-miR-132",6.90874,6.38328,6.32493,6.13238,7.17001,7.54725,6.99261
"hsa-miR-500",7.12946,6.89049,7.11503,6.48757,7.47117,8.00987,4.2947
"hsa-miR-193b",7.51703,7.35763,6.51498,6.75499,6.83306,7.7032,4.62037
"hsa-miR-99a",8.96116,8.98468,8.40136,7.93315,4.28962,4.5996,3.95401
"hsa-miR-339",7.53206,7.34882,5.71705,6.01758,6.48242,6.83316,6.66984
"hsa-miR-744",7.89452,7.62647,7.65638,7.48038,6.72536,6.55931,2.51954
"hsa-miR-1825",5.06601,5.86801,6.36035,5.99257,6.0342,6.02811,9.35203
"hsa-miR-212",4.67763,3.20184,5.20415,4.47108,8.1284,7.70051,11.0711
"hsa-miR-27b",7.37111,7.48677,6.583,6.05037,6.04467,6.37985,4.51703
"hsa-miR-584",7.96389,7.93062,7.33351,7.52343,5.18006,5.31157,2.87506
"hsa-miR-193a",7.81405,7.4081,5.96568,6.04857,6.7078,6.76812,3.35117
"hsa-miR-671",5.56215,5.54834,3.98859,4.77894,7.01158,6.35259,9.85929
"hsa-miR-1238",2.66163,4.1859,5.89242,4.91497,7.71521,6.89256,10.5536
"hsa-miR-1231",5.61986,5.63603,7.0205,7.04703,6.63342,6.61107,4.19263
"hsa-miR-652",7.25785,6.91508,6.56311,6.4731,6.42382,6.0926,2.71053
"hsa-miR-152",7.15116,7.04819,7.26141,6.92144,5.24792,5.2269,3.34822
"hsa-miR-1180",7.18444,6.98071,6.2905,6.44377,5.21509,5.93795,4.12219
"hsa-miR-501",6.65482,6.24838,5.8848,5.7168,6.74372,6.33288,4.47415
"hsa-miR-1301",6.29411,6.10686,5.80216,5.69591,6.81093,7.00674,4.23819
"hsa-miR-105-1 ",7.12035,6.88721,6.42866,6.17994,4.1997,4.42946,6.57566
"hsa-miR-362",6.37007,6.20885,5.94631,5.23295,6.92193,7.35416,3.6804
"hsa-miR-1280",6.27663,6.62744,6.10109,6.46804,4.93942,5.38898,5.60442
"hsa-miR-935",6.55689,6.25359,3.91478,3.61817,6.04904,5.93233,9.04245
"hsa-miR-346",4.50016,3.97699,6.7337,6.87153,5.66904,5.71381,7.33151
"hsa-miR-422a",6.72726,6.90077,6.40161,5.86306,6.32534,6.50746,1.97544
"hsa-miR-615",5.58507,5.27196,5.73046,5.71874,5.33716,5.68229,7.29642
"hsa-miR-647",3.58806,2.2122,2.92749,2.72897,8.65252,8.46789,11.8088
"hsa-miR-28",6.78657,6.53699,4.82923,5.1935,6.90614,7.16466,2.81853
"hsa-miR-504",5.27765,4.78273,4.38183,3.26612,7.09715,6.43854,8.78605
"hsa-miR-187",4.1075,4.04599,5.97901,5.16704,6.62452,6.25555,7.57954
"hsa-miR-668",3.03537,3.29451,4.51116,4.84364,6.79901,7.01459,9.94237
"hsa-miR-34b",3.37154,2.94735,2.63102,3.43619,7.75217,7.82743,11.3686
"hsa-miR-485",2.93903,2.63385,3.69647,3.3819,7.5415,7.51793,11.2901
"hsa-miR-210",6.3894,5.83194,6.50094,5.79508,6.14124,5.99089,2.33061
"hsa-miR-550-1 ",5.54577,5.37934,4.52748,4.11154,5.96476,6.32676,7.10317
"hsa-miR-720",5.89268,5.81732,5.17953,5.51013,5.49366,5.24338,5.8166
"hsa-miR-21",6.52331,6.61453,3.982,5.46385,5.27906,5.41841,5.35376
"hsa-miR-34c",2.43363,3.14411,4.45948,3.54895,7.4249,7.06859,10.5079
"hsa-miR-1225",4.4344,4.33814,8.91837,8.93342,5.52203,4.20697,2.03221
"hsa-miR-296",6.84492,6.73497,6.29864,6.25054,3.02348,4.41806,4.80163
"hsa-let-7f-1 ",6.54892,6.78015,6.02039,5.73954,4.72348,6.64209,1.8189
"hsa-miR-182",7.95495,7.89675,7.31742,7.08987,2.73653,2.96386,2.27605
"hsa-miR-509-3",4.05311,3.79908,4.79722,3.69646,8.36538,8.30305,5.15722
"hsa-miR-1296",3.5223,3.60445,5.00717,4.89388,6.3036,6.31668,8.4144
"hsa-miR-330",6.66103,6.35276,5.55168,5.30553,4.93664,5.23447,3.86082
"hsa-miR-943",3.80638,4.5801,5.44968,3.88505,6.22041,6.47434,7.41793
"hsa-miR-15a",7.45034,7.55732,5.16137,5.69131,4.56497,5.74177,1.66389
"hsa-miR-603",4.30847,4.33782,4.09696,4.13319,6.4876,6.52082,7.54545
"hsa-miR-629",5.57168,5.54592,4.72038,2.76029,6.42851,6.08451,6.30121
"hsa-miR-1263",5.05953,4.576,6.46728,5.90922,5.45291,5.00365,4.70403
"hsa-miR-412",2.64513,2.16076,4.04787,2.23345,7.47614,7.44251,11.0782
"hsa-miR-483",3.64906,2.95433,3.10898,2.87634,6.9992,6.94999,10.3359
"hsa-miR-1229",4.30268,3.08131,3.00558,3.03504,7.17138,6.41096,9.78533
"hsa-miR-1246",5.54484,5.91106,9.78537,9.97029,1.73963,2.10707,1.69251
"hsa-miR-766",5.32227,4.52198,5.11593,4.59797,5.70882,5.08462,6.34589
"hsa-miR-605",4.25078,3.78525,3.98112,3.89387,5.81861,6.35294,8.41228
"hsa-miR-1184 ",4.4003,5.03709,3.84875,4.3059,6.06337,5.89252,6.91076
"hsa-miR-602",4.56406,4.55606,6.04137,5.99304,4.61576,5.6075,4.99899
"hsa-miR-509-2 ",1.67712,2.1487,1.99826,1.79021,10.4875,10.5915,7.59356
"hsa-miR-1234",5.18067,4.35939,5.01974,5.14124,5.58975,4.77332,6.09968
"hsa-miR-508",3.15134,3.88316,3.47046,4.29439,8.36293,8.04573,4.93983
"hsa-miR-548a-2 ",5.72711,5.6952,6.72824,5.68357,5.21296,4.2262,2.83544
"hsa-miR-877",6.24416,6.1365,6.97152,6.78843,3.71417,2.96887,3.26706
"hsa-let-7g",6.42138,6.43952,6.11389,5.68229,4.39068,4.93937,2.09943
"hsa-miR-211",2.01704,2.32049,3.50709,2.50604,7.22087,7.55237,10.7419
"hsa-miR-933",4.06131,4.90612,6.66183,6.7208,4.50797,4.17623,4.65222
"hsa-miR-26b",2.16034,3.46496,1.71657,3.49316,7.17935,7.43628,10.1781
"hsa-miR-1292",5.11308,5.06374,5.9546,6.02751,4.16719,4.13881,5.12243
