"","GSM3147582","GSM3147583","GSM3147584","GSM3147585","GSM3147586","GSM3147587","GSM3147588","GSM3147589","GSM3147590","GSM3147591","GSM3147592","GSM3147593","GSM3147594","GSM3147595","GSM3147596","GSM3147597","GSM3147598","GSM3147599","GSM3147600","GSM3147601","GSM3147602","GSM3147603","GSM3147604","GSM3147605","GSM3147606","GSM3147607","GSM3147608","GSM3147609","GSM3147610","GSM3147611","GSM3147612","GSM3147613","GSM3147614","GSM3147615","GSM3147616","GSM3147617","GSM3147618","GSM3147619","GSM3147620","GSM3147621","GSM3147622","GSM3147623","GSM3147624","GSM3147625","GSM3147626","GSM3147627","GSM3147628","GSM3147629"
"hsa-miR-155",1.59725,8.33725,7.889,8.79775,8.347,0.38575,8.18925,2.062162965,7.534,9.08025,8.59775,0.118912965,7.5925,3.24675,9.0045,2.533412965,6.5545,4.31675,4.8685,7.75988334,9.5005,8.572,7.256,7.551,6.25263334,8.63175,7.66363334,9.3045,1.97075,1.39,7.725,7.221,3.07025,2.9013547,8.009,4.218,4.9875,2.256504002,1.3885,7.762269214,8.6545,1.690420877,2.438754002,1.9005,7.373519214,7.131269214,1.54975,8.136
"hsa-miR-885-5p",5.13525,7.24525,7.149,5.38175,7.888,2.82575,5.02625,1.116323469,4.339,5.29225,6.37475,1.654073469,5.4085,4.50275,7.6075,1.199573469,6.1505,1.98975,3.3805,3.85825,8.2285,6.473,4.637,6.678,5.305,7.41875,5.465,5.9955,3.89175,3.457,4.821,4.064,4.86425,1.819905644,4.916,3.822,6.3645,2.145285732,3.0285,7.6665,6.4995,1.579202608,2.327535732,2.413050944,6.98975,5.2995,2.73475,6.826
"hsa-miR-483-5p",3.66825,7.84425,7.898,6.42875,5.689,3.00375,5.78125,1.099196751,6.237033787,6.26625,7.64375,1.636946751,6.4655,3.25275,7.8655,1.182446751,6.7505,2.41575,2.7595,5.16825,7.2695,6.61,5.149,6.137,5.964,8.00075,6.051,7.0215,3.53375,0.978,6.148,4.781,2.92225,1.157554099,5.699,3.92,4.5595,1.482934187,2.7725,7.6885,6.9525,0.916851063,1.665184187,1.750699399,6.81375,5.2115,1.83875,6.863
"hsa-miR-345",3.06725,6.10825,5.875,5.37175,6.684,2.48775,5.69925,0.742981002,5.143,6.14125,6.44075,3.717912965,5.9695,3.36775,5.0635,0.826231002,4.0315,4.39375,3.4905,5.77125,5.3295,5.401,5.556,6.02,5.867,6.38275,6.441,6.3815,2.08075,3.423,6.295,4.824,3.66225,2.8713547,5.382,3.765,3.8555,1.86435967,3.4115,6.4835,5.2705,1.298276546,2.04660967,2.9495,6.30075,6.1605,4.28375,5.693
"hsa-miR-339-3p",3.27825,5.40425,5.26,5.42375,7.088,2.61975,5.85225,0.522764445,5.521,6.27425,6.66975,1.060514445,6.4595,2.33275,5.3625,0.606014445,4.2805,4.59875,4.1155,5.73725,5.0585,5.952,4.576,5.146,5.37,5.44275,5.645,5.4765,1.298051199,2.498,5.121,4.526,2.78025,0.973082252,6.369,3.109,3.1965,1.29846234,2.3425,7.0395,4.5025,0.732379215,1.48071234,1.566227552,6.70275,6.5545,2.54975,5.323
"hsa-miR-128a",3.92425,5.05325,5.039,5.27775,5.588,1.71175,5.26025,0.380668807,4.788,5.40425,5.62875,2.477912965,5.4585,5.00075,5.1475,0.463918807,4.5745,5.03575,4.2365,5.53525,5.3075,6.970282382,5.216,5.213,4.933,5.33675,5.935,5.4155,1.70875,0.659282382,4.892,5.206,5.00025,1.047308583,5.318,4.574,3.2075,1.372688671,1.628453882,5.5665,5.0605,0.806605546,1.554938671,2.8945,5.26875,5.1045,3.54475,5.052
"hsa-miR-423-5p",4.09425,5.28125,5.31,4.50975,5.413,2.19575,4.71225,0.199837515,4.705,5.46925,5.07975,0.737587515,5.3655,4.57875,4.9925,0.283087515,4.4375,4.46875,3.8845,4.75725,5.0255,5.119,5.346,5.254,5.254,5.11675,5.515,4.9385,2.09675,3.336,4.731,4.845,3.93125,1.043690668,5.141,4.895,3.6325,1.369070756,1.624835968,4.9485,5.0205,0.802987632,1.551320756,2.8485,5.34575,5.0075,3.75975,5.383
"hsa-miR-23a",3.984793043,4.77725,4.699,4.56075,5.096,1.93675,4.80025,3.178162965,4.456,5.06225,4.98075,3.596912965,4.8735,4.22175,4.9955,0.612956007,4.4745,4.33475,3.8555,4.97425,4.6395,4.814,4.9,4.726,4.931,5.02875,5.47,4.6725,2.68275,0.394664437,3.958,4.657,4.02125,1.067634979,5.093,4.469,3.7345,1.393015067,1.648780279,5.5245,4.6805,0.826931942,1.575265067,2.5115,4.91175,5.0375,3.32075,4.472
"hsa-miR-148b",2.88025,4.09725,4.402,4.79875,4.854,1.70875,5.06025,3.111162965,4.179,4.69125,5.34375,0.763573854,4.9135,3.30075,4.9505,0.309073854,3.6595,3.53075,3.4875,3.99825,4.5975,4.446,4.395,4.36,4.138284075,4.88975,5.1,4.4145,1.99975,3.488,4.355,4.141,3.81025,1.022070728,4.67,3.837,3.1715,1.347450816,3.5025,4.9535,4.3645,0.781367692,1.529700816,3.1385,4.40975,4.2815,3.33675,4.087
"hsa-let-7d",1.55325,3.32925,3.265,6.10775,4.64,0.93975,4.44325,3.198162965,4.28,4.97525,4.83175,2.515912965,4.6905,3.64975,4.8375,0.245821743,3.2945,3.03175,4.3605,6.57125,5.9015,4.717,2.914,3.126,2.678,3.96075,5.681,4.3185,0.99975,2.052,3.378,3.495,2.66925,0.648527328,3.947,4.704172628,3.9205,0.973907417,1.5045,5.7055,3.5015,0.407824292,1.156157417,1.3845,5.06875,4.6225,1.56975,3.374
