Unnamed: 0,samples
hsa-miR-190b,1353
hsa-miR-191-3p,26296
hsa-miR-191-5p,25640
hsa-miR-1910-3p,24142
hsa-miR-1910-5p,25439
hsa-miR-1911-5p,25547
hsa-miR-192-3p,25551
hsa-miR-192-5p,25641
hsa-miR-193a-3p,26124
hsa-miR-193a-5p,26071
hsa-miR-193b-3p,25640
hsa-miR-193b-5p,25585
hsa-miR-194-3p,25582
hsa-miR-194-5p,25641
hsa-miR-195-3p,25583
hsa-miR-195-5p,25640
hsa-miR-196a-5p,25640
hsa-miR-196b-5p,25637
hsa-miR-197-3p,25642
hsa-miR-197-5p,25116
hsa-miR-1972,25750
hsa-miR-1973,25799
hsa-miR-199a-3p,2140
hsa-miR-199a-5p,26845
hsa-miR-199b-3p,1508
hsa-miR-199b-5p,26123
hsa-miR-19a-3p,25638
hsa-miR-19b-1-5p,25580
hsa-miR-19b-3p,25641
hsa-miR-200a-3p,25636
hsa-miR-200a-5p,25580
hsa-miR-200b-3p,25640
hsa-miR-200b-5p,25582
hsa-miR-200c-3p,25639
hsa-miR-200c-5p,25547
hsa-miR-202-5p,25547
hsa-miR-203a-3p,19545
hsa-miR-203b-3p,24305
hsa-miR-203b-5p,24306
hsa-miR-204-5p,25638
hsa-miR-205-3p,26299
hsa-miR-205-5p,25636
hsa-miR-206,26200
hsa-miR-208a-3p,25438
hsa-miR-20a-3p,25584
hsa-miR-20a-5p,25578
hsa-miR-20b-5p,25582
hsa-miR-21-3p,25580
hsa-miR-21-5p,25632
hsa-miR-210-3p,25428
hsa-miR-211-5p,26324
hsa-miR-2110,25767
hsa-miR-2115-3p,25548
hsa-miR-2116-5p,25610
hsa-miR-212-3p,26354
hsa-miR-212-5p,25022
hsa-miR-215-5p,25431
hsa-miR-216a-5p,25600
hsa-miR-216b-3p,24086
hsa-miR-217,1347
hsa-miR-218-1-3p,26259
hsa-miR-218-5p,25634
hsa-miR-219a-1-3p,25438
hsa-miR-219a-2-3p,25435
hsa-miR-219b-5p,24143
hsa-miR-22-3p,25632
hsa-miR-22-5p,25581
hsa-miR-221-3p,25640
hsa-miR-221-5p,26353
hsa-miR-222-3p,26356
hsa-miR-222-5p,26296
hsa-miR-223-3p,25638
hsa-miR-224-5p,25638
hsa-miR-2276-3p,25381
hsa-miR-2277-5p,24908
hsa-miR-2355-3p,24910
